2a12:dd47:f801::/48,FR,FR-71,La-roche-vineuse,71960
2a12:dd47:f802::/48,FR,FR-69,Villeurbanne,69100
2a12:dd47:f803::/48,FR,FR-69,Villeurbanne,69100
